DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
14K477,East Williamsburg Scholars Academy,Approaching Target,2.69,Proficient,Developing,Developing,79%,79%,78%,Meeting Target,3.34,Developing,88%,80%,80%,Meeting Target,3.08,Proficient,73%,72%,70%,Approaching Target,0.20,0.61,0.73,2.83,39.8%,2.22,Meeting Target,3.22,85%,84%,84%,Exceeding Target,4.32,94%,87%,89%,Meeting Target,3.87,90%,87%,88%,63%,88%,24%,Rosemary Vega,March 2017
14K478,"The High School for Enterprise, Business and Techn",Meeting Target,3.72,Well Developed,Proficient,Proficient,75%,79%,78%,Approaching Target,2.94,Proficient,69%,80%,80%,Meeting Target,3.35,Well Developed,65%,72%,70%,Meeting Target,0.17,0.49,0.78,3.25,58.0%,3.30,Approaching Target,2.79,66%,84%,84%,Meeting Target,3.26,84%,87%,89%,Approaching Target,2.45,77%,87%,88%,60%,81%,28%,Holger Carrillo,May 2018
14K488,Brooklyn Preparatory High School,Meeting Target,3.59,Proficient,Proficient,Proficient,83%,79%,78%,Exceeding Target,4.58,Well Developed,89%,80%,80%,Meeting Target,3.43,Well Developed,76%,72%,70%,Approaching Target,0.17,0.51,0.62,2.08,53.5%,1.64,Exceeding Target,4.34,94%,84%,84%,Exceeding Target,4.21,91%,87%,89%,Exceeding Target,4.43,95%,87%,88%,68%,84%,19%,Noah Lansner,5-May-15
14K558,Williamsburg High School for Architecture and Desi,Exceeding Target,4.00,Well Developed,Proficient,Proficient,84%,79%,78%,Exceeding Target,4.34,Well Developed,85%,80%,80%,Exceeding Target,4.59,Well Developed,80%,72%,70%,Exceeding Target,0.23,0.70,0.59,4.00,82.4%,4.87,Meeting Target,3.81,89%,84%,84%,Meeting Target,3.76,87%,87%,89%,Meeting Target,3.77,89%,87%,88%,89%,100%,58%,Gill Cornell,12-Jan-15
14K561,Williamsburg Preparatory School,Meeting Target,3.63,Proficient,Proficient,Proficient,83%,79%,78%,Exceeding Target,4.35,Well Developed,85%,80%,80%,Exceeding Target,4.22,Well Developed,76%,72%,70%,Exceeding Target,0.22,0.65,0.65,4.13,70.8%,4.05,Meeting Target,3.92,88%,84%,84%,Exceeding Target,4.08,90%,87%,89%,Exceeding Target,4.27,94%,87%,88%,84%,100%,28%,,November-18
14K586,Lyons Community School,Meeting Target,3.51,Proficient,Proficient,Proficient,80%,79%,78%,Meeting Target,3.64,Proficient,84%,80%,80%,Meeting Target,3.14,Proficient,68%,70%,70%,Approaching Target,0.23,0.68,0.34,2.17,46.7%,2.94,Meeting Target,3.88,88%,83%,84%,Exceeding Target,4.07,94%,90%,89%,Exceeding Target,4.19,92%,87%,88%,84%,100%,19%,Karen Onishi,16-Dec-15
14K610,Automotive High School,Meeting Target,3.08,Proficient,Proficient,Proficient,67%,79%,78%,Approaching Target,2.62,Proficient,51%,80%,80%,Meeting Target,3.29,Proficient,64%,72%,70%,Meeting Target,0.33,1.00,0.88,3.38,52.8%,3.62,Approaching Target,2.86,60%,84%,84%,Meeting Target,3.61,89%,87%,89%,Approaching Target,2.75,74%,87%,88%,75%,100%,26%,Kevin Bryant,April 2018
14K614,Young Women's Leadership School of Brooklyn,Meeting Target,3.57,Well Developed,Proficient,Developing,81%,79%,78%,Meeting Target,3.43,Developing,88%,80%,80%,Meeting Target,3.76,Well Developed,71%,70%,70%,Exceeding Target,0.16,0.46,0.63,4.03,57.6%,2.11,Meeting Target,3.95,92%,83%,84%,Not Meeting Target,1.85,80%,90%,89%,Approaching Target,2.64,82%,87%,88%,83%,97%,73%,Catherine Mitchell,December 2017
14K685,El Puente Academy for Peace and Justice,Exceeding Target,4.43,Well Developed,Proficient,Well Developed,87%,79%,78%,Exceeding Target,4.34,Well Developed,94%,80%,80%,Meeting Target,3.42,Well Developed,78%,72%,70%,Approaching Target,0.25,0.76,0.71,2.83,33.9%,1.37,Exceeding Target,4.92,99%,84%,84%,Exceeding Target,4.38,93%,87%,89%,Exceeding Target,4.55,96%,87%,88%,83%,100%,26%,,April-19
15K429,Digital Arts and Cinema Technology High School,Meeting Target,3.75,Well Developed,Proficient,Proficient,78%,79%,78%,Meeting Target,3.66,Proficient,81%,80%,80%,Meeting Target,3.67,Well Developed,70%,72%,70%,Not Meeting Target,0.21,0.62,0.37,1.83,68.0%,3.22,Exceeding Target,4.21,87%,84%,84%,Meeting Target,3.57,86%,87%,89%,Meeting Target,3.57,86%,87%,88%,95%,100%,66%,Dawn Meconi,December 2016
15K448,Brooklyn Collaborative Studies,Exceeding Target,4.17,Well Developed,Proficient,Well Developed,78%,79%,78%,Exceeding Target,4.36,Well Developed,84%,80%,80%,Meeting Target,3.18,Well Developed,67%,70%,70%,Not Meeting Target,0.26,0.80,0.25,1.67,52.9%,1.86,Meeting Target,3.75,86%,83%,84%,Exceeding Target,4.15,93%,90%,89%,Meeting Target,3.80,89%,87%,88%,73%,84%,28%,Priscilla Chan,13-Jan-16
15K462,John Jay School for Law,Exceeding Target,4.34,Well Developed,Well Developed,Well Developed,71%,79%,78%,Meeting Target,3.66,Well Developed,68%,80%,80%,Approaching Target,2.96,Well Developed,62%,72%,70%,Meeting Target,0.18,0.53,0.49,3.25,53.4%,1.86,Not Meeting Target,1.92,69%,84%,84%,Approaching Target,2.17,78%,87%,89%,Approaching Target,2.15,77%,87%,88%,76%,91%,24%,Oneatha Swinton,"April 1, 2015"
15K463,Secondary School for Journalism,,.,Developing,Developing,Developing,60%,79%,78%,,.,Developing,82%,80%,80%,Approaching Target,2.33,Proficient,61%,72%,70%,Meeting Target,0.19,0.57,0.75,3.25,45.0%,1.87,,.,97%,84%,84%,,.,88%,87%,89%,,.,88%,87%,88%,64%,21%,14%,Marc Williams,April 2017
15K464,Park Slope Collegiate,Meeting Target,3.89,Well Developed,Proficient,Well Developed,70%,79%,78%,Meeting Target,3.13,Well Developed,68%,80%,80%,Meeting Target,3.08,Well Developed,62%,70%,70%,Not Meeting Target,0.20,0.58,0.37,1.94,52.6%,1.56,Meeting Target,3.26,77%,83%,84%,Approaching Target,2.87,86%,90%,89%,Meeting Target,3.04,82%,87%,88%,80%,67%,17%,,December-18
15K497,The Boerum Hill School for International Studies,Meeting Target,3.78,Well Developed,Proficient,Proficient,78%,79%,78%,Meeting Target,3.82,Proficient,80%,80%,80%,Meeting Target,3.41,Well Developed,67%,70%,70%,Meeting Target,0.21,0.64,0.59,3.00,53.4%,1.59,Meeting Target,3.76,83%,83%,84%,Meeting Target,3.16,87%,90%,89%,Meeting Target,3.41,87%,87%,88%,82%,93%,39%,NICOLE LANZILLOTTO,January 2018
15K519,Cobble Hill School of American Studies,Meeting Target,3.95,Well Developed,Proficient,Proficient,81%,79%,78%,Meeting Target,3.40,Proficient,79%,80%,80%,Meeting Target,3.59,Well Developed,70%,72%,70%,Exceeding Target,0.17,0.52,0.91,4.33,57.0%,3.44,Meeting Target,3.43,82%,84%,84%,Exceeding Target,4.42,93%,87%,89%,Approaching Target,2.97,82%,87%,88%,54%,83%,30%,Annamaria Mule,November 2017
15K592,Khalil Gibran International Academy,Meeting Target,3.36,Proficient,Proficient,Proficient,75%,79%,78%,Meeting Target,3.60,Well Developed,67%,80%,80%,Meeting Target,3.68,Well Developed,71%,72%,70%,Approaching Target,0.17,0.51,0.67,2.17,50.2%,3.11,Meeting Target,3.39,81%,84%,84%,Meeting Target,3.07,84%,87%,89%,Meeting Target,3.92,89%,87%,88%,57%,77%,43%,Winston Hamann,"April 21, 2015"
15K656,Brooklyn High School of the Arts,Meeting Target,3.63,Proficient,Proficient,Proficient,83%,79%,78%,Exceeding Target,4.19,Proficient,91%,80%,80%,Meeting Target,3.40,Well Developed,72%,72%,70%,Not Meeting Target,0.17,0.50,0.44,1.89,65.6%,2.09,Exceeding Target,4.03,93%,84%,84%,Exceeding Target,4.17,91%,87%,89%,Exceeding Target,4.10,93%,87%,88%,92%,94%,23%,MARGARET LACEY BERMAN,March 2017
15K667,Sunset Park High School,Meeting Target,3.21,Proficient,Proficient,Proficient,71%,79%,78%,Approaching Target,2.89,Well Developed,61%,80%,80%,Meeting Target,3.72,Well Developed,70%,72%,70%,Meeting Target,0.23,0.71,0.71,3.50,57.4%,3.19,Meeting Target,3.50,63%,84%,84%,Meeting Target,3.32,85%,87%,89%,Approaching Target,2.87,78%,87%,88%,73%,89%,28%,Victoria Antonini,January 2018
15K684,Millennium Brooklyn HS,Exceeding Target,4.15,Well Developed,Proficient,Proficient,91%,79%,78%,Exceeding Target,4.67,Well Developed,93%,80%,80%,Exceeding Target,4.50,Well Developed,87%,72%,70%,Approaching Target,0.15,0.44,0.29,2.08,91.9%,4.26,Exceeding Target,4.25,94%,84%,84%,Meeting Target,3.66,86%,87%,89%,Exceeding Target,4.46,95%,87%,88%,87%,97%,54%,Kevin Conway,11-Feb-16
16K455,Boys and Girls High School,Approaching Target,2.83,Proficient,Developing,Developing,82%,79%,78%,Meeting Target,3.53,Proficient,82%,80%,80%,Meeting Target,3.53,Proficient,70%,72%,70%,Not Meeting Target,0.28,0.87,0.63,1.39,55.7%,4.31,Meeting Target,3.41,81%,84%,84%,Meeting Target,3.88,90%,87%,89%,Meeting Target,3.57,85%,87%,88%,77%,81%,43%,Grecian Harrison,April 2018
16K498,Brooklyn High School for Law and Technology,Approaching Target,2.63,Proficient,Developing,Developing,76%,79%,78%,Meeting Target,3.31,Proficient,78%,80%,80%,Meeting Target,3.04,Proficient,66%,72%,70%,Meeting Target,0.23,0.71,0.73,3.88,52.8%,2.78,Meeting Target,3.12,83%,84%,84%,Meeting Target,3.35,86%,87%,89%,Meeting Target,3.40,87%,87%,88%,47%,61%,23%,Vernon Johnson,November 2016
16K688,The Brooklyn Academy of Global Finance,Approaching Target,2.67,Proficient,Developing,Developing,78%,79%,78%,Meeting Target,3.21,Developing,84%,80%,80%,Meeting Target,3.37,Developing,69%,72%,70%,Exceeding Target,0.27,0.82,1.00,4.10,56.0%,4.97,Meeting Target,3.10,90%,84%,84%,Meeting Target,3.62,90%,87%,89%,Exceeding Target,4.12,92%,87%,88%,85%,100%,53%,Dannielle Darbee,May 2017
16K765,Nelson Mandela High School,Approaching Target,2.60,Proficient,Developing,Developing,76%,79%,78%,Approaching Target,2.30,Developing,63%,80%,80%,Approaching Target,2.32,Proficient,63%,72%,70%,Approaching Target,0.30,0.93,0.74,2.00,28.9%,1.11,Approaching Target,2.82,81%,84%,84%,Meeting Target,3.91,91%,87%,89%,Approaching Target,2.59,79%,87%,88%,94%,100%,15%,Tabari Bomani,December 2016
17K122,Pathways in Technology Early College High School (,Meeting Target,3.36,Proficient,Proficient,Proficient,77%,79%,78%,Meeting Target,3.40,Proficient,79%,80%,80%,Exceeding Target,4.36,Well Developed,75%,72%,70%,Exceeding Target,0.19,0.56,0.89,4.67,78.5%,4.50,Meeting Target,3.58,82%,84%,84%,Exceeding Target,4.06,90%,87%,89%,Exceeding Target,4.01,90%,87%,88%,78%,86%,59%,Rashid Davis,31-May-16
17K382,Academy for College Preparation and Career Explora,Meeting Target,3.08,Developing,Proficient,Proficient,78%,79%,78%,Exceeding Target,4.08,Proficient,86%,80%,80%,Meeting Target,3.39,Proficient,68%,70%,70%,Exceeding Target,0.16,0.47,0.78,4.23,57.5%,4.02,Meeting Target,3.56,90%,83%,84%,Approaching Target,2.94,87%,90%,89%,Meeting Target,3.05,86%,87%,88%,91%,100%,7%,Joan Mosely,November 2017
17K408,Academy of Hospitality and Tourism,Approaching Target,2.94,Proficient,Proficient,Developing,75%,79%,78%,Meeting Target,3.50,Proficient,81%,80%,80%,Meeting Target,3.80,Proficient,75%,72%,70%,Approaching Target,0.14,0.42,0.54,2.33,61.6%,4.40,Meeting Target,3.61,88%,84%,84%,Approaching Target,2.84,79%,87%,89%,Meeting Target,3.89,89%,87%,88%,95%,100%,84%,Shirley Miller,December 2016
17K524,International High School at Prospect Heights,Exceeding Target,4.40,Well Developed,Proficient,Well Developed,84%,79%,78%,Exceeding Target,4.25,Well Developed,91%,80%,80%,Exceeding Target,4.56,Well Developed,81%,72%,70%,Meeting Target,0.03,0.06,0.92,3.00,70.3%,4.80,Exceeding Target,4.02,91%,84%,84%,Exceeding Target,4.65,95%,87%,89%,Exceeding Target,4.10,93%,87%,88%,71%,77%,18%,,November-18
17K528,The High School for Global Citizenship,Meeting Target,3.80,Well Developed,Proficient,Proficient,79%,79%,78%,Meeting Target,3.57,Proficient,84%,80%,80%,Meeting Target,3.82,Well Developed,74%,72%,70%,Exceeding Target,0.17,0.50,0.83,4.10,56.6%,2.89,Meeting Target,3.51,79%,84%,84%,Meeting Target,3.55,88%,87%,89%,Approaching Target,2.66,80%,87%,88%,88%,100%,67%,,May-19
17K531,"School for Human Rights, The",Meeting Target,3.49,Proficient,Proficient,Proficient,81%,79%,78%,Meeting Target,3.57,Proficient,82%,80%,80%,Meeting Target,3.78,Proficient,70%,70%,70%,Approaching Target,0.17,0.49,0.55,2.08,71.8%,4.93,Meeting Target,3.60,87%,83%,84%,Meeting Target,3.08,88%,90%,89%,Meeting Target,3.58,88%,87%,88%,97%,93%,51%,,December-18
17K537,High School for Youth and Community Development at,Meeting Target,3.83,Well Developed,Proficient,Proficient,77%,79%,78%,Exceeding Target,4.41,Well Developed,88%,80%,80%,Exceeding Target,4.11,Well Developed,72%,72%,70%,Meeting Target,0.24,0.72,0.71,3.25,61.8%,4.23,Exceeding Target,4.09,92%,84%,84%,Meeting Target,3.89,88%,87%,89%,Meeting Target,3.92,91%,87%,88%,70%,92%,39%,Mary Prendergast,23-Apr-15
17K539,High School for Service & Learning at Erasmus,Meeting Target,3.15,Proficient,Proficient,Proficient,70%,79%,78%,Meeting Target,3.51,Proficient,73%,80%,80%,Meeting Target,3.34,Proficient,63%,72%,70%,Approaching Target,0.19,0.55,0.65,2.75,59.2%,4.41,Meeting Target,3.40,80%,84%,84%,Exceeding Target,4.27,94%,87%,89%,Meeting Target,3.26,84%,87%,88%,50%,96%,35%,JOSEPHINE VAN ESS,May 2017
17K543,"Science, Technology and Research Early College Hig",Exceeding Target,4.23,Well Developed,Proficient,Proficient,93%,79%,78%,Exceeding Target,4.69,Well Developed,91%,80%,80%,Exceeding Target,4.62,Well Developed,82%,70%,70%,Meeting Target,0.13,0.36,0.49,3.25,91.1%,4.38,Exceeding Target,4.49,95%,83%,84%,Exceeding Target,4.85,99%,90%,89%,Exceeding Target,4.38,93%,87%,88%,93%,82%,87%,Dr. Eric Blake,"January 7, 2015"
17K546,High School for Public Service: Heroes of Tomorrow,Meeting Target,3.56,Proficient,Proficient,Proficient,79%,79%,78%,Approaching Target,2.96,Developing,87%,80%,80%,Meeting Target,3.71,Proficient,70%,72%,70%,Not Meeting Target,0.15,0.45,0.61,1.56,79.2%,4.18,Meeting Target,3.65,89%,84%,84%,Meeting Target,3.71,89%,87%,89%,Meeting Target,3.87,92%,87%,88%,84%,82%,42%,Sean Rice,May 2018
17K547,Brooklyn Academy of Science and the Environment,Meeting Target,3.05,Proficient,Developing,Proficient,68%,79%,78%,Meeting Target,3.09,Proficient,73%,80%,80%,Meeting Target,3.66,Proficient,67%,72%,70%,Approaching Target,0.16,0.46,0.77,2.50,75.3%,4.99,Meeting Target,3.42,80%,84%,84%,Meeting Target,3.22,86%,87%,89%,Meeting Target,3.49,86%,87%,88%,88%,95%,46%,Gail Lambert,March 2018
17K548,Brooklyn School for Music & Theatre,Meeting Target,3.09,Proficient,Developing,Proficient,78%,79%,78%,Meeting Target,3.73,Proficient,88%,80%,80%,Meeting Target,3.41,Proficient,67%,72%,70%,Not Meeting Target,0.22,0.68,0.71,1.72,54.2%,3.57,Meeting Target,3.99,92%,84%,84%,Approaching Target,2.65,82%,87%,89%,Meeting Target,3.53,90%,87%,88%,81%,83%,11%,PAMELA RANDAZZO,March 2017
17K590,Medgar Evers College Preparatory School,,.,Proficient,Proficient,Proficient,81%,79%,78%,,.,Proficient,83%,80%,80%,Meeting Target,3.47,Well Developed,59%,70%,70%,Exceeding Target,0.10,0.27,0.76,4.20,78.9%,2.52,,.,91%,83%,84%,Exceeding Target,4.57,96%,90%,89%,Meeting Target,3.42,87%,87%,88%,38%,19%,54%,,November-18
17K600,Clara Barton High School,Approaching Target,2.49,Proficient,Developing,Developing,73%,79%,78%,Meeting Target,3.28,Proficient,77%,80%,80%,Approaching Target,2.80,Proficient,60%,72%,70%,Meeting Target,0.18,0.54,0.96,3.00,62.9%,3.06,Meeting Target,3.40,80%,84%,84%,Approaching Target,2.79,83%,87%,89%,Approaching Target,2.86,83%,87%,88%,75%,89%,23%,RICHARD FORMAN,December 2016
17K745,Brooklyn Institute for Liberal Arts,Meeting Target,3.86,Well Developed,Proficient,Proficient,80%,79%,78%,Meeting Target,3.59,Proficient,85%,80%,80%,Exceeding Target,4.22,Well Developed,71%,72%,70%,Exceeding Target,0.18,0.53,0.82,4.43,73.9%,4.47,Meeting Target,3.93,89%,84%,84%,Meeting Target,3.92,89%,87%,89%,Meeting Target,3.46,88%,87%,88%,93%,100%,46%,ANN MARIE HENRY STEPHENS,April 2018
17K751,Academy for Health Careers,Approaching Target,2.85,Proficient,Developing,Developing,81%,79%,78%,Meeting Target,3.69,Proficient,77%,80%,80%,Approaching Target,2.87,Proficient,66%,72%,70%,Not Meeting Target,0.14,0.42,0.42,1.28,54.0%,2.60,Meeting Target,3.07,83%,84%,84%,Meeting Target,3.42,87%,87%,89%,Approaching Target,2.69,83%,87%,88%,78%,71%,13%,Deonne Martin,March 2017
18K563,It Takes a Village Academy,Meeting Target,3.94,Well Developed,Proficient,Well Developed,70%,79%,78%,Meeting Target,3.44,Well Developed,64%,80%,80%,Meeting Target,3.75,Well Developed,63%,72%,70%,Meeting Target,0.14,0.41,0.68,3.63,69.9%,4.21,Not Meeting Target,1.14,62%,84%,84%,Approaching Target,2.79,82%,87%,89%,Not Meeting Target,1.57,71%,87%,88%,75%,80%,28%,Marina Vinitskaya,"February 25, 2015"
18K566,Brooklyn Generation School,Meeting Target,3.76,Well Developed,Proficient,Proficient,77%,79%,78%,Meeting Target,3.85,Well Developed,80%,80%,80%,Exceeding Target,4.27,Well Developed,70%,72%,70%,Approaching Target,0.24,0.72,0.82,2.92,77.0%,4.99,Exceeding Target,4.01,89%,84%,84%,Exceeding Target,4.15,91%,87%,89%,Meeting Target,3.86,90%,87%,88%,81%,89%,31%,Lydia Colon Bomani,May 2017
18K567,Brooklyn Theatre Arts High School,Approaching Target,2.04,Developing,Developing,Developing,71%,79%,78%,Meeting Target,3.06,Developing,80%,80%,80%,Approaching Target,2.55,Proficient,62%,72%,70%,Meeting Target,0.17,0.52,0.67,3.88,43.5%,1.84,Meeting Target,3.01,81%,84%,84%,Meeting Target,3.31,86%,87%,89%,Approaching Target,2.86,84%,87%,88%,79%,84%,47%,DAVID WARD,October 2017
18K569,Kurt Hahn Expeditionary Learning School,Meeting Target,3.12,Proficient,Proficient,Proficient,65%,79%,78%,Meeting Target,3.00,Proficient,70%,80%,80%,Meeting Target,3.87,Well Developed,68%,72%,70%,Approaching Target,0.26,0.80,0.62,2.08,59.8%,4.15,Meeting Target,3.34,78%,84%,84%,Meeting Target,3.71,87%,87%,89%,Meeting Target,3.29,83%,87%,88%,82%,61%,26%,,December-18
18K576,Victory Collegiate High School,Exceeding Target,4.41,Well Developed,Well Developed,Well Developed,71%,79%,78%,Meeting Target,3.81,Well Developed,70%,80%,80%,Meeting Target,3.37,Well Developed,66%,72%,70%,Meeting Target,0.26,0.78,0.68,3.25,47.7%,2.43,Meeting Target,3.37,81%,84%,84%,Meeting Target,3.67,87%,87%,89%,Meeting Target,3.59,89%,87%,88%,60%,87%,9%,Marcel Deans,13-May-15
18K617,High School for Innovation in Advertising and Medi,Meeting Target,3.31,Proficient,Proficient,Proficient,74%,79%,78%,Meeting Target,3.42,Proficient,80%,80%,80%,Approaching Target,2.94,Proficient,70%,72%,70%,Approaching Target,0.22,0.66,0.79,2.83,45.1%,1.99,Meeting Target,3.24,70%,84%,84%,Exceeding Target,4.21,95%,87%,89%,Exceeding Target,4.00,90%,87%,88%,58%,95%,4%,ADALEZA MICHELENA,October 2016
18K629,Cultural Academy for the Arts and Sciences,Approaching Target,2.61,Proficient,Developing,Developing,75%,79%,78%,Meeting Target,3.06,Proficient,72%,80%,80%,Meeting Target,3.46,Proficient,69%,72%,70%,Approaching Target,0.19,0.56,0.83,2.92,58.0%,3.95,Meeting Target,3.04,79%,84%,84%,Meeting Target,3.48,87%,87%,89%,Meeting Target,3.25,85%,87%,88%,94%,100%,29%,Sanatha Alexis,May 2017
18K633,High School for Medical Professions,Meeting Target,3.80,Well Developed,Proficient,Proficient,77%,79%,78%,Meeting Target,3.37,Proficient,77%,80%,80%,Meeting Target,3.22,Proficient,70%,72%,70%,Exceeding Target,0.16,0.47,0.93,4.27,64.9%,2.85,Meeting Target,3.66,83%,84%,84%,Exceeding Target,4.59,97%,87%,89%,Meeting Target,3.83,87%,87%,88%,92%,72%,23%,Pauline Obrien,17-Mar-16
18K637,Academy for Conservation and the Environment,Exceeding Target,4.04,Well Developed,Proficient,Proficient,85%,79%,78%,Exceeding Target,4.27,Proficient,93%,80%,80%,Meeting Target,3.92,Well Developed,73%,72%,70%,Approaching Target,0.16,0.48,0.80,2.00,58.7%,3.65,Exceeding Target,4.47,95%,84%,84%,Exceeding Target,4.57,94%,87%,89%,Exceeding Target,4.44,95%,87%,88%,93%,100%,73%,,May-19
18K642,Urban Action Academy,Meeting Target,3.53,Proficient,Proficient,Well Developed,67%,79%,78%,Approaching Target,2.90,Proficient,54%,80%,80%,Approaching Target,2.70,Well Developed,52%,72%,70%,Meeting Target,0.15,0.45,0.95,3.25,38.8%,1.85,Meeting Target,3.09,62%,84%,84%,Approaching Target,2.90,83%,87%,89%,Approaching Target,2.28,78%,87%,88%,88%,95%,26%,Steve Dorcely,March 2017
19K404,Academy for Young Writers,Meeting Target,3.48,Proficient,Proficient,Proficient,78%,79%,78%,Meeting Target,3.22,Proficient,75%,80%,80%,Meeting Target,3.53,Well Developed,68%,70%,70%,Approaching Target,0.19,0.57,0.58,2.92,55.1%,2.27,Meeting Target,3.45,77%,83%,84%,Exceeding Target,4.08,93%,90%,89%,Meeting Target,3.12,83%,87%,88%,74%,84%,14%,AADEN STERN,March 2018
19K409,East New York Family Academy,Meeting Target,3.71,Proficient,Proficient,Proficient,86%,79%,78%,Exceeding Target,4.09,Proficient,86%,80%,80%,Meeting Target,3.48,Well Developed,72%,70%,70%,Approaching Target,0.22,0.66,0.59,2.25,59.1%,2.44,Exceeding Target,4.27,89%,83%,84%,Exceeding Target,4.01,92%,90%,89%,Exceeding Target,4.08,92%,87%,88%,86%,49%,45%,Anthony Yard,March 2018
19K422,Spring Creek Community School,Meeting Target,3.81,Proficient,Proficient,Well Developed,77%,79%,78%,Meeting Target,3.68,Well Developed,70%,80%,80%,Meeting Target,3.80,Well Developed,67%,70%,70%,Approaching Target,0.23,0.69,0.52,2.25,62.3%,2.85,Meeting Target,3.75,76%,83%,84%,Meeting Target,3.51,89%,90%,89%,Approaching Target,2.72,80%,87%,88%,86%,85%,19%,Christina Koza,February 2018
19K502,FDNY - Captain Vernon A. Richard High School for F,Approaching Target,2.87,Developing,Developing,Proficient,81%,79%,78%,Meeting Target,3.75,Proficient,88%,80%,80%,Meeting Target,3.33,Well Developed,75%,72%,70%,Not Meeting Target,0.27,0.83,0.56,1.89,41.6%,2.32,Meeting Target,3.82,95%,84%,84%,Exceeding Target,4.21,91%,87%,89%,Meeting Target,3.92,91%,87%,88%,69%,95%,18%,JAMES ANDERSON,March 2018
19K504,High School for Civil Rights,Approaching Target,2.73,Proficient,Developing,Developing,80%,79%,78%,Meeting Target,3.18,Developing,83%,80%,80%,Meeting Target,3.37,Proficient,73%,72%,70%,Exceeding Target,0.26,0.78,0.93,4.00,41.2%,3.12,Meeting Target,3.18,85%,84%,84%,Meeting Target,3.56,87%,87%,89%,Meeting Target,3.84,90%,87%,88%,81%,93%,32%,MICHAEL STEELE,December 2016
19K507,Performing Arts and Technology High School,Meeting Target,3.31,Proficient,Proficient,Proficient,74%,79%,78%,Meeting Target,3.81,Well Developed,80%,80%,80%,Exceeding Target,4.26,Well Developed,71%,72%,70%,Approaching Target,0.21,0.64,0.76,2.50,69.8%,4.99,Meeting Target,3.73,81%,84%,84%,Meeting Target,3.66,87%,87%,89%,Meeting Target,3.46,87%,87%,88%,85%,83%,56%,,May-19
19K510,World Academy for Total Community Health High Scho,Approaching Target,2.33,Developing,Developing,Developing,78%,79%,78%,Meeting Target,3.32,Developing,88%,80%,80%,Approaching Target,2.89,Proficient,70%,72%,70%,Meeting Target,0.18,0.55,0.80,3.75,37.9%,1.80,Meeting Target,3.77,92%,84%,84%,Approaching Target,2.91,84%,87%,89%,Meeting Target,3.73,90%,87%,88%,93%,95%,38%,Claudette Christie,December 2016
19K583,Multicultural High School,Meeting Target,3.60,Proficient,Proficient,Proficient,85%,79%,78%,Exceeding Target,4.21,Well Developed,82%,80%,80%,Exceeding Target,4.37,Well Developed,79%,72%,70%,,0.01,0.00,N<5,.,70.5%,4.19,Meeting Target,3.87,86%,84%,84%,Exceeding Target,4.23,91%,87%,89%,Meeting Target,3.80,88%,87%,88%,88%,91%,40%,ALEXANDRA HERNANDEZ,May 2018
19K615,Transit Tech Career and Technical Education High S,Approaching Target,2.73,Proficient,Developing,Proficient,69%,79%,78%,Meeting Target,3.30,Proficient,78%,80%,80%,Meeting Target,3.22,Proficient,60%,72%,70%,Exceeding Target,0.24,0.73,1.03,4.40,55.0%,3.43,Meeting Target,3.47,83%,84%,84%,Meeting Target,3.08,86%,87%,89%,Meeting Target,3.16,84%,87%,88%,63%,94%,27%,Marlon Bynum,November 2016
19K618,Academy of Innovative Technology,Exceeding Target,4.32,Well Developed,Proficient,Well Developed,81%,79%,78%,Exceeding Target,4.15,Well Developed,81%,80%,80%,Meeting Target,3.85,Well Developed,70%,72%,70%,Meeting Target,0.20,0.61,0.66,3.13,63.6%,3.56,Meeting Target,3.64,85%,84%,84%,Exceeding Target,4.15,91%,87%,89%,Meeting Target,3.79,90%,87%,88%,90%,86%,16%,Cynthia Fowlkes,8-Apr-16
