DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
13K594,Gotham Professional Arts Academy,High School,Meeting Target,3.55,,12,37.5%,84.7%,75.0%,.,.,.,.,,12,37.5%,95.2%,50.0%,.,.,.,.,,3,9.4%,15.7%,N<10,.,.,.,.,Exceeding Target,23,71.9%,95.9%,65.2%,20.0%,34.8%,43.7%,4.99,Approaching Target,14,46.7%,62.4%,28.6%,20.8%,31.8%,42.3%,2.71,Not Meeting Target,23,71.9%,95.9%,0.0%,5.0%,10.0%,15.0%,1.00,Exceeding Target,23,71.9%,95.9%,21.7%,6.2%,12.5%,16.5%,4.60,Meeting Target,44,40.4%,26.1%,34.1%,40.9%,3.93
13K595,Bedford Academy High School,High School,Meeting Target,3.82,,1,1.4%,3.2%,N<5,47.1%,64.5%,77.8%,.,,6,8.3%,21.1%,N<10,66.6%,78.2%,87.2%,.,,1,1.4%,2.3%,N<10,54.2%,71.8%,81.6%,.,,5,6.9%,9.2%,100.0%,58.6%,73.6%,82.2%,.,,3,3.2%,4.3%,N<5,31.7%,42.7%,53.2%,.,,5,6.9%,9.2%,10.0%,6.6%,23.3%,39.5%,.,,5,6.9%,9.2%,40.0%,20.9%,34.4%,43.0%,.,Meeting Target,83,68.7%,60.6%,68.6%,75.4%,3.01
13K605,George Westinghouse Career and Technical Education,High School,Approaching Target,2.76,Exceeding Target,43,29.9%,67.5%,86.0%,49.8%,67.2%,80.5%,4.30,Meeting Target,27,18.8%,47.7%,77.8%,51.7%,66.5%,77.9%,3.99,,5,3.5%,5.9%,N<10,54.3%,71.9%,81.7%,.,Exceeding Target,59,41.0%,54.7%,86.4%,57.5%,72.9%,81.7%,4.26,Not Meeting Target,55,41.7%,55.7%,25.5%,30.0%,41.0%,51.5%,1.78,Exceeding Target,59,41.0%,54.7%,40.7%,5.0%,15.0%,25.4%,4.82,Approaching Target,59,41.0%,54.7%,20.3%,11.5%,23.2%,30.6%,2.75,Not Meeting Target,113,30.7%,41.8%,49.8%,56.6%,1.00
13K670,Benjamin Banneker Academy,High School,Meeting Target,3.45,,11,5.8%,13.1%,90.9%,46.9%,64.3%,77.6%,.,Exceeding Target,19,10.1%,25.6%,94.7%,61.0%,74.5%,85.0%,4.65,,3,1.6%,2.7%,N<10,58.7%,75.5%,84.9%,.,,15,7.9%,10.5%,86.7%,54.7%,70.1%,79.0%,.,,9,5.0%,6.7%,33.3%,34.9%,45.9%,56.4%,.,,15,7.9%,10.5%,26.7%,5.0%,17.0%,28.9%,.,,15,7.9%,10.5%,20.0%,10.3%,20.8%,27.4%,.,Meeting Target,240,73.3%,63.8%,71.8%,78.6%,3.22
13K674,"City Polytechnic High School of Engineering, Archi",High School,Approaching Target,2.77,Meeting Target,16,19.3%,43.6%,75.0%,47.8%,65.2%,78.5%,3.74,Meeting Target,17,20.5%,52.0%,76.5%,62.4%,75.5%,85.6%,3.10,,2,2.4%,4.0%,N<10,59.1%,75.8%,85.1%,.,Meeting Target,17,20.5%,27.3%,76.5%,55.9%,71.3%,80.2%,3.58,Not Meeting Target,29,26.4%,35.3%,24.1%,34.7%,45.7%,56.2%,1.48,Approaching Target,17,20.5%,27.3%,17.6%,6.0%,21.1%,36.0%,2.77,Exceeding Target,17,20.5%,27.3%,29.4%,9.8%,19.9%,26.2%,4.23,Not Meeting Target,105,40.0%,53.9%,61.9%,68.7%,1.00
14K071,Juan Morel Campos Secondary School,High School,Approaching Target,2.74,Approaching Target,38,39.6%,89.4%,47.4%,41.2%,58.6%,71.9%,2.36,Not Meeting Target,29,30.2%,76.6%,41.4%,43.1%,57.9%,69.3%,1.90,Approaching Target,32,33.3%,55.8%,56.3%,47.9%,65.5%,75.3%,2.48,Approaching Target,66,68.8%,91.7%,51.5%,50.5%,65.9%,74.8%,2.06,Meeting Target,45,59.2%,79.1%,35.6%,24.3%,35.3%,45.8%,3.03,Approaching Target,66,68.8%,91.7%,8.3%,5.0%,10.4%,17.7%,2.61,Approaching Target,66,68.8%,91.7%,13.6%,8.2%,16.5%,21.8%,2.65,Approaching Target,97,32.6%,27.5%,35.5%,42.3%,2.64
14K449,"Brooklyn Latin School, The",High School,Exceeding Target,4.64,,.,0.0%,0.0%,N<5,.,.,.,.,,2,1.3%,3.3%,N<10,.,.,.,.,,.,0.0%,0.0%,N<10,57.3%,74.7%,84.4%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,173,93.1%,78.9%,85.2%,90.6%,4.27
14K454,The Williamsburg High School of Art and Technology,High School,Meeting Target,3.21,Meeting Target,25,35.2%,79.5%,72.0%,45.3%,62.7%,76.0%,3.70,Exceeding Target,16,22.5%,57.1%,81.3%,48.5%,63.3%,74.7%,4.40,Meeting Target,19,26.8%,44.9%,73.7%,54.9%,72.5%,82.3%,3.12,Meeting Target,37,52.1%,69.5%,73.0%,53.6%,69.0%,77.9%,3.45,Meeting Target,19,46.3%,61.9%,47.4%,27.1%,38.1%,48.6%,3.89,Approaching Target,37,52.1%,69.5%,10.8%,5.0%,13.3%,22.7%,2.70,Approaching Target,37,52.1%,69.5%,13.5%,11.1%,22.4%,29.5%,2.21,Approaching Target,57,28.1%,24.6%,32.6%,39.4%,2.44
14K474,PROGRESS High School for Professional Careers,High School,Approaching Target,2.84,Meeting Target,73,32.7%,73.8%,61.6%,31.7%,49.1%,62.4%,3.94,Exceeding Target,46,20.6%,52.3%,69.6%,39.9%,54.7%,66.1%,4.21,Approaching Target,45,20.2%,33.8%,66.7%,49.5%,67.1%,76.9%,2.98,Meeting Target,111,49.8%,66.4%,64.9%,42.1%,57.5%,66.4%,3.83,Meeting Target,103,47.7%,63.8%,35.0%,23.8%,34.8%,45.3%,3.02,Meeting Target,111,49.8%,66.4%,10.8%,5.0%,10.0%,15.7%,3.14,Approaching Target,111,49.8%,66.4%,15.3%,7.8%,15.8%,20.9%,2.94,Approaching Target,211,30.3%,29.0%,37.0%,43.8%,2.16
14K477,East Williamsburg Scholars Academy,High School,Approaching Target,2.67,Meeting Target,24,28.2%,63.7%,58.3%,33.4%,50.8%,64.1%,3.56,Meeting Target,19,22.4%,56.9%,63.2%,39.5%,54.3%,65.7%,3.78,Exceeding Target,31,36.5%,61.1%,80.6%,46.2%,63.8%,73.6%,4.45,Approaching Target,41,48.2%,64.3%,58.5%,43.5%,58.9%,67.8%,2.97,Not Meeting Target,53,47.7%,63.8%,15.1%,24.4%,35.4%,45.9%,1.54,Exceeding Target,41,48.2%,64.3%,35.4%,5.0%,11.3%,19.2%,4.99,Approaching Target,41,48.2%,64.3%,17.1%,9.1%,18.4%,24.3%,2.86,Not Meeting Target,141,16.3%,27.3%,35.3%,42.1%,1.00
14K478,"The High School for Enterprise, Business and Techn",High School,Approaching Target,2.93,Meeting Target,48,27.1%,61.2%,64.6%,37.8%,55.2%,68.5%,3.71,Meeting Target,31,17.5%,44.4%,67.7%,49.2%,64.0%,75.4%,3.32,Approaching Target,28,15.8%,26.5%,64.3%,51.0%,68.6%,78.4%,2.76,Meeting Target,72,40.7%,54.3%,65.3%,48.8%,64.2%,73.1%,3.12,Approaching Target,94,43.9%,58.7%,35.1%,26.9%,37.9%,48.4%,2.75,Exceeding Target,72,40.7%,54.3%,25.7%,5.0%,12.2%,20.8%,4.32,Not Meeting Target,72,40.7%,54.3%,9.7%,11.1%,22.5%,29.7%,1.87,Approaching Target,227,44.5%,40.6%,48.6%,55.4%,2.49
14K488,Brooklyn Preparatory High School,High School,Meeting Target,3.58,Exceeding Target,23,16.5%,37.2%,78.3%,46.3%,63.7%,77.0%,4.07,Meeting Target,26,18.7%,47.5%,76.9%,52.9%,67.7%,79.1%,3.81,,6,4.3%,7.2%,N<10,52.8%,70.4%,80.2%,.,Exceeding Target,36,25.9%,34.5%,83.3%,53.7%,69.1%,78.0%,4.29,Meeting Target,27,22.5%,30.1%,55.6%,40.2%,51.2%,61.7%,3.42,Meeting Target,36,25.9%,34.5%,18.1%,5.0%,13.3%,22.5%,3.52,Meeting Target,36,25.9%,34.5%,22.2%,9.8%,19.8%,26.1%,3.38,Meeting Target,118,60.5%,49.1%,57.1%,63.9%,3.50
14K558,Williamsburg High School for Architecture and Desi,High School,Exceeding Target,4.38,Exceeding Target,18,14.6%,33.0%,94.4%,52.3%,69.1%,82.0%,4.69,Exceeding Target,26,21.1%,53.6%,92.3%,59.7%,73.7%,84.5%,4.50,,10,8.1%,13.6%,90.0%,57.5%,74.8%,84.5%,.,Exceeding Target,36,29.3%,39.1%,94.4%,58.9%,73.8%,82.3%,4.68,Meeting Target,37,28.2%,37.7%,48.6%,37.1%,48.1%,58.6%,3.05,Exceeding Target,36,29.3%,39.1%,91.7%,5.0%,15.8%,26.8%,4.99,Exceeding Target,36,29.3%,39.1%,61.1%,11.5%,23.3%,30.7%,4.99,Not Meeting Target,131,41.9%,44.7%,52.7%,59.5%,1.73
14K561,Williamsburg Preparatory School,High School,Exceeding Target,4.31,Exceeding Target,20,13.2%,29.8%,85.0%,48.1%,65.5%,78.8%,4.34,Exceeding Target,26,17.2%,43.7%,92.3%,54.6%,69.4%,80.8%,4.70,,13,8.6%,14.4%,100.0%,57.3%,74.7%,84.4%,.,Exceeding Target,40,26.5%,35.3%,92.5%,54.7%,70.1%,79.0%,4.74,Exceeding Target,38,24.1%,32.2%,68.4%,37.8%,48.8%,59.3%,4.53,Meeting Target,40,26.5%,35.3%,16.3%,5.0%,13.3%,22.5%,3.33,Exceeding Target,40,26.5%,35.3%,32.5%,10.9%,22.0%,29.0%,4.23,Meeting Target,168,64.3%,50.3%,58.3%,65.1%,3.88
14K586,Lyons Community School,High School,Meeting Target,3.02,Approaching Target,23,30.3%,68.4%,52.2%,50.1%,67.5%,80.8%,2.12,Not Meeting Target,15,19.7%,50.0%,53.3%,55.7%,70.5%,81.9%,1.86,,8,10.5%,17.6%,N<10,58.5%,75.4%,84.9%,.,Approaching Target,45,59.2%,78.9%,62.2%,59.6%,74.2%,82.6%,2.18,Meeting Target,60,65.2%,87.2%,50.0%,31.1%,42.1%,52.6%,3.75,Approaching Target,45,59.2%,78.9%,8.9%,5.0%,11.6%,19.7%,2.59,Exceeding Target,45,59.2%,78.9%,37.8%,11.4%,23.1%,30.4%,4.46,Exceeding Target,81,48.3%,31.9%,39.9%,46.7%,4.13
14K610,Automotive High School,High School,Meeting Target,3.31,Exceeding Target,45,56.3%,100.0%,71.1%,31.9%,49.3%,62.6%,4.46,Meeting Target,27,33.8%,85.8%,63.0%,39.5%,54.3%,65.7%,3.76,,10,12.5%,20.9%,40.0%,38.5%,56.1%,65.9%,.,Meeting Target,56,70.0%,93.3%,60.7%,42.1%,57.5%,66.4%,3.36,Meeting Target,74,63.8%,85.3%,39.2%,19.4%,29.9%,39.9%,3.93,Meeting Target,56,70.0%,93.3%,14.3%,5.0%,10.0%,15.0%,3.86,Meeting Target,56,70.0%,93.3%,16.1%,6.3%,12.7%,16.8%,3.83,Not Meeting Target,43,18.6%,26.5%,34.5%,41.3%,1.25
14K614,Young Women's Leadership School of Brooklyn,High School,Meeting Target,3.94,,.,0.0%,0.0%,N<5,50.4%,67.8%,81.1%,.,,3,9.7%,24.6%,N<10,.,.,.,.,,4,12.9%,21.6%,N<10,52.0%,69.6%,79.4%,.,Exceeding Target,6,19.4%,25.9%,83.3%,58.0%,73.2%,81.9%,4.08,Exceeding Target,14,20.6%,27.5%,71.4%,32.5%,43.5%,54.0%,4.99,Meeting Target,6,19.4%,25.9%,16.7%,5.0%,14.1%,23.9%,3.27,Approaching Target,6,19.4%,25.9%,16.7%,12.8%,25.9%,34.2%,2.30,Exceeding Target,51,83.0%,49.4%,57.4%,64.2%,4.99
14K685,El Puente Academy for Peace and Justice,High School,Meeting Target,3.10,Meeting Target,18,32.1%,72.5%,66.7%,43.6%,61.0%,74.3%,3.43,Meeting Target,14,25.0%,63.5%,64.3%,48.2%,63.0%,74.4%,3.11,Approaching Target,11,19.6%,32.8%,72.7%,58.4%,75.4%,84.8%,2.84,Approaching Target,29,51.8%,69.1%,65.5%,53.8%,69.2%,78.1%,2.76,Exceeding Target,33,61.1%,81.7%,54.5%,32.7%,43.7%,54.2%,4.02,Exceeding Target,29,51.8%,69.1%,27.6%,5.0%,11.5%,19.5%,4.57,Exceeding Target,29,51.8%,69.1%,48.3%,9.5%,19.3%,25.5%,4.99,Not Meeting Target,57,26.3%,27.8%,35.8%,42.6%,1.86
15K429,Digital Arts and Cinema Technology High School,High School,Meeting Target,3.81,Exceeding Target,12,27.9%,63.0%,91.7%,53.9%,70.2%,82.7%,4.52,Exceeding Target,10,23.3%,59.1%,90.0%,56.0%,70.8%,82.2%,4.48,,2,4.7%,7.9%,N<10,53.4%,71.0%,80.8%,.,Exceeding Target,19,44.2%,58.9%,94.7%,60.3%,74.7%,82.9%,4.69,Exceeding Target,15,57.7%,77.1%,66.7%,36.7%,47.7%,58.2%,4.50,Approaching Target,19,44.2%,58.9%,5.3%,5.0%,15.6%,26.5%,2.03,Approaching Target,19,44.2%,58.9%,10.5%,8.9%,17.9%,23.6%,2.18,Meeting Target,36,50.0%,38.9%,46.9%,53.7%,3.46
15K448,Brooklyn Collaborative Studies,High School,Meeting Target,3.74,Exceeding Target,13,14.0%,31.6%,84.6%,55.5%,71.2%,83.3%,4.08,Meeting Target,26,28.0%,71.1%,80.8%,61.8%,75.1%,85.3%,3.56,,3,3.2%,5.4%,N<10,54.4%,72.0%,81.8%,.,Exceeding Target,31,33.3%,44.4%,83.9%,61.2%,75.2%,83.3%,4.04,Meeting Target,40,44.0%,58.8%,52.5%,33.0%,44.0%,54.5%,3.81,Exceeding Target,31,33.3%,44.4%,90.3%,5.0%,15.6%,26.5%,4.99,Exceeding Target,31,33.3%,44.4%,74.2%,9.5%,19.3%,25.5%,4.99,Exceeding Target,89,69.2%,38.7%,46.7%,53.5%,4.99
15K462,John Jay School for Law,High School,Meeting Target,3.04,,7,9.3%,21.0%,57.1%,49.5%,66.9%,80.2%,.,Exceeding Target,10,13.3%,33.8%,90.0%,58.8%,73.1%,84.2%,4.37,,4,5.3%,8.9%,N<10,59.8%,76.2%,85.3%,.,Exceeding Target,24,32.0%,42.7%,83.3%,57.5%,72.9%,81.7%,4.09,Meeting Target,31,38.8%,51.9%,41.9%,29.3%,40.3%,50.8%,3.15,Meeting Target,24,32.0%,42.7%,16.7%,5.0%,15.3%,26.0%,3.13,Exceeding Target,24,32.0%,42.7%,41.7%,11.8%,23.8%,31.4%,4.63,Meeting Target,88,55.7%,45.6%,53.6%,60.4%,3.31
15K463,Secondary School for Journalism,High School,Approaching Target,2.21,Approaching Target,13,22.8%,51.5%,46.2%,35.6%,53.0%,66.3%,2.61,Not Meeting Target,15,26.3%,66.8%,46.7%,47.0%,61.8%,73.2%,1.98,Not Meeting Target,10,17.5%,29.3%,40.0%,43.2%,60.8%,70.6%,1.72,Approaching Target,30,52.6%,70.1%,46.7%,41.9%,57.3%,66.2%,2.31,Exceeding Target,29,47.5%,63.5%,41.4%,19.8%,30.4%,40.6%,4.05,Approaching Target,30,52.6%,70.1%,6.7%,5.0%,10.0%,15.0%,2.34,Meeting Target,30,52.6%,70.1%,16.7%,7.6%,15.4%,20.3%,3.27,Approaching Target,52,38.5%,36.2%,44.2%,51.0%,2.29
15K464,Park Slope Collegiate,High School,Approaching Target,2.95,Exceeding Target,19,19.4%,43.8%,84.2%,45.4%,62.8%,76.1%,4.44,Meeting Target,18,18.4%,46.7%,77.8%,55.2%,70.0%,81.4%,3.68,,8,8.2%,13.7%,N<10,53.4%,71.0%,80.8%,.,Approaching Target,26,26.5%,35.3%,69.2%,54.0%,69.4%,78.3%,2.99,Not Meeting Target,34,43.6%,58.3%,32.4%,43.1%,54.1%,64.6%,1.48,Exceeding Target,26,26.5%,35.3%,76.9%,5.0%,15.5%,26.4%,4.99,Approaching Target,26,26.5%,35.3%,19.2%,9.6%,19.5%,25.7%,2.97,Not Meeting Target,69,34.8%,39.7%,47.7%,54.5%,1.53
15K497,The Boerum Hill School for International Studies,High School,Approaching Target,2.45,Not Meeting Target,8,15.7%,35.4%,37.5%,48.5%,65.9%,79.2%,1.23,Approaching Target,10,19.6%,49.7%,60.0%,55.5%,70.3%,81.7%,2.30,,8,15.7%,26.3%,N<10,51.3%,68.9%,78.7%,.,Not Meeting Target,20,39.2%,52.3%,50.0%,56.1%,71.5%,80.4%,1.66,Not Meeting Target,28,43.8%,58.6%,21.4%,34.3%,45.3%,55.8%,1.37,Meeting Target,20,39.2%,52.3%,20.0%,5.0%,15.9%,27.1%,3.37,Not Meeting Target,20,39.2%,52.3%,10.0%,11.4%,23.0%,30.3%,1.88,Approaching Target,76,50.0%,48.3%,56.3%,63.1%,2.21
15K519,Cobble Hill School of American Studies,High School,Meeting Target,3.17,Exceeding Target,28,19.3%,43.6%,75.0%,31.4%,48.8%,62.1%,4.70,Exceeding Target,24,16.6%,42.1%,66.7%,39.8%,54.6%,66.0%,4.04,,19,13.1%,21.9%,84.2%,44.1%,61.7%,71.5%,.,Exceeding Target,54,37.2%,49.6%,74.1%,40.1%,55.5%,64.4%,4.53,Exceeding Target,47,33.8%,45.2%,48.9%,24.0%,35.0%,45.5%,4.20,Exceeding Target,54,37.2%,49.6%,44.4%,5.0%,10.0%,15.0%,4.99,Approaching Target,54,37.2%,49.6%,9.3%,7.2%,14.5%,19.2%,2.29,Meeting Target,108,41.7%,31.8%,39.8%,46.6%,3.28
15K592,Khalil Gibran International Academy,High School,Approaching Target,2.88,Approaching Target,12,18.2%,41.1%,41.7%,33.3%,50.7%,64.0%,2.48,Not Meeting Target,14,21.2%,53.8%,35.7%,45.6%,60.4%,71.8%,1.43,Not Meeting Target,32,48.5%,81.2%,40.6%,46.3%,63.9%,73.7%,1.50,Not Meeting Target,37,56.1%,74.8%,27.0%,40.9%,56.3%,65.2%,1.22,Meeting Target,35,47.9%,64.0%,48.6%,30.7%,41.7%,52.2%,3.66,Not Meeting Target,37,56.1%,74.8%,2.7%,5.0%,10.5%,17.9%,1.54,Not Meeting Target,37,56.1%,74.8%,0.0%,6.9%,14.0%,18.5%,1.00,Exceeding Target,52,42.3%,24.0%,32.0%,38.8%,4.29
15K656,Brooklyn High School of the Arts,High School,Meeting Target,3.10,,11,5.6%,12.6%,63.6%,49.8%,67.2%,80.5%,.,Meeting Target,24,12.2%,31.0%,83.3%,58.3%,72.8%,83.9%,3.95,,1,0.5%,0.8%,N<10,57.5%,74.8%,84.5%,.,,32,16.2%,21.6%,78.1%,58.3%,73.4%,82.1%,.,Meeting Target,42,22.7%,30.3%,61.9%,45.6%,56.6%,67.1%,3.50,,32,16.2%,21.6%,17.2%,6.4%,22.5%,38.3%,.,,32,16.2%,21.6%,18.8%,16.1%,29.6%,38.2%,.,Approaching Target,200,62.0%,57.5%,65.5%,72.3%,2.56
15K667,Sunset Park High School,High School,Meeting Target,3.24,Meeting Target,64,22.3%,50.3%,64.1%,44.3%,61.7%,75.0%,3.18,Meeting Target,63,22.0%,55.8%,69.8%,52.3%,67.1%,78.5%,3.24,Approaching Target,76,26.5%,44.4%,67.1%,52.8%,70.4%,80.2%,2.81,Meeting Target,115,40.1%,53.5%,69.6%,52.4%,67.8%,76.7%,3.20,Meeting Target,105,34.5%,46.1%,44.8%,27.4%,38.4%,48.9%,3.61,Exceeding Target,115,40.1%,53.5%,22.2%,5.0%,11.2%,19.1%,4.22,Approaching Target,115,40.1%,53.5%,18.3%,9.8%,19.9%,26.2%,2.84,Exceeding Target,267,52.8%,36.5%,44.5%,51.3%,4.13
15K684,Millennium Brooklyn HS,High School,Exceeding Target,4.74,,.,0.0%,0.0%,N<5,.,.,.,.,Exceeding Target,24,15.1%,38.3%,91.7%,70.6%,80.8%,88.7%,4.27,,2,1.3%,2.2%,N<10,65.8%,79.7%,87.5%,.,,6,3.8%,5.1%,66.7%,58.0%,73.2%,81.9%,.,,3,1.8%,2.4%,N<5,31.2%,42.2%,52.7%,.,,6,3.8%,5.1%,33.3%,6.4%,22.4%,38.0%,.,,6,3.8%,5.1%,50.0%,12.0%,24.2%,31.9%,.,Exceeding Target,165,87.3%,67.5%,75.5%,82.3%,4.42
16K455,Boys and Girls High School,High School,Meeting Target,3.28,Approaching Target,33,37.1%,83.7%,48.5%,32.6%,50.0%,63.3%,2.91,Meeting Target,26,29.2%,74.1%,65.4%,42.6%,57.4%,68.8%,3.70,,7,7.9%,13.2%,N<10,40.3%,57.9%,67.7%,.,Meeting Target,49,55.1%,73.5%,61.2%,42.1%,57.5%,66.4%,3.42,Approaching Target,54,63.5%,84.9%,25.9%,17.9%,27.6%,36.8%,2.82,Exceeding Target,49,55.1%,73.5%,30.6%,5.0%,10.0%,15.0%,4.99,Approaching Target,49,55.1%,73.5%,8.2%,6.5%,13.1%,17.3%,2.26,Approaching Target,126,23.1%,21.6%,29.6%,36.4%,2.19
16K498,Brooklyn High School for Law and Technology,High School,Meeting Target,3.10,Meeting Target,39,31.0%,70.0%,61.5%,34.3%,51.7%,65.0%,3.74,Exceeding Target,32,25.4%,64.5%,71.9%,43.9%,58.7%,70.1%,4.11,,10,7.9%,13.2%,50.0%,41.9%,59.5%,69.3%,.,Meeting Target,58,46.0%,61.3%,65.5%,43.8%,59.2%,68.1%,3.71,Meeting Target,46,32.9%,44.0%,43.5%,26.0%,37.0%,47.5%,3.62,Approaching Target,58,46.0%,61.3%,6.9%,5.0%,10.0%,15.8%,2.38,Approaching Target,58,46.0%,61.3%,13.8%,7.9%,16.0%,21.1%,2.73,Meeting Target,163,46.0%,36.1%,44.1%,50.9%,3.28
16K688,The Brooklyn Academy of Global Finance,High School,Meeting Target,3.40,Exceeding Target,9,39.1%,88.3%,66.7%,30.3%,47.7%,61.0%,4.31,,7,30.4%,77.2%,N<10,39.5%,54.3%,65.7%,.,,4,17.4%,29.1%,N<10,36.9%,54.5%,64.3%,.,Exceeding Target,16,69.6%,92.8%,75.0%,40.8%,56.2%,65.1%,4.54,Not Meeting Target,31,70.5%,94.3%,9.7%,15.1%,23.2%,31.0%,1.64,Not Meeting Target,16,69.6%,92.8%,0.0%,5.0%,10.0%,15.0%,1.00,Not Meeting Target,16,69.6%,92.8%,0.0%,3.9%,7.9%,10.4%,1.00,Meeting Target,35,22.9%,11.5%,19.5%,26.3%,3.50
